Baraga Solar project 3 - 2018 data (Differentiator: Higher DC to AC ratio),,NOTES:,
Latitude,  46.69 ,"Location selected for EJ /policy reasons (because it is situated in a Native community), and selected locally for being in an area with better solar resource",
Longitude,  (88.62),,
System capacity (kW DC),1000,<-- auto-generated by SAM,
System capacity (W DC),"  1,000,000 ",,
DC to AC ratio,1.34,This is recommended by ATB. Higher,
AC capacity (kW AC),746.27,Found on SAM. Lower,
AC capacity (W AC),"  746,270 ",,
Mean capacity factor (%),18.6%,"Very low, worse than class 10",But better than Baraga 2
Capex (overnight cap cost) ($/kw)," $ 1,230.00 ","Class 10 - Moderate, 2022",
Fixed OPEX ($/kw-year), $ 22.03 ,"Class 10 - Moderate, 2022",
,,,
FROM SAM DATA DOWNLOAD					,,CALCULATED COLUMN,
Time stamp,AC inverter output power | (W),Capacity Factor (%),
"Oct 8, 07:00 pm",99469.7,13.33%,
"Oct 8, 08:00 pm",46798.3,6.27%,
"Oct 8, 09:00 pm",16773.6,2.25%,
"Oct 8, 10:00 pm",7017.98,0.94%,
"Oct 8, 11:00 pm",0,0.00%,
"Oct 9, 12:00 am",0,0.00%,
"Oct 9, 01:00 am",0,0.00%,
"Oct 9, 02:00 am",0,0.00%,
"Oct 9, 03:00 am",0,0.00%,
"Oct 9, 04:00 am",0,0.00%,
"Oct 9, 05:00 am",0,0.00%,
"Oct 9, 06:00 am",0,0.00%,
"Oct 9, 07:00 am",0,0.00%,
"Oct 9, 08:00 am",0,0.00%,
"Oct 9, 09:00 am",0,0.00%,
"Oct 9, 10:00 am",0,0.00%,
"Oct 9, 11:00 am",0,0.00%,
"Oct 9, 12:00 pm",1843.74,0.25%,
"Oct 9, 01:00 pm",31665,4.24%,
"Oct 9, 02:00 pm",34647.3,4.64%,
"Oct 9, 03:00 pm",44420.8,5.95%,
"Oct 9, 04:00 pm",60187,8.07%,
"Oct 9, 05:00 pm",55733.9,7.47%,
"Oct 9, 06:00 pm",36967,4.95%,
"Oct 9, 07:00 pm",32150.3,4.31%,
"Oct 9, 08:00 pm",34939.3,4.68%,
"Oct 9, 09:00 pm",26388.9,3.54%,
"Oct 9, 10:00 pm",4832.89,0.65%,
"Oct 9, 11:00 pm",0,0.00%,
"Oct 10, 12:00 am",0,0.00%,
"Oct 10, 01:00 am",0,0.00%,
"Oct 10, 02:00 am",0,0.00%,
"Oct 10, 03:00 am",0,0.00%,
"Oct 10, 04:00 am",0,0.00%,
"Oct 10, 05:00 am",0,0.00%,
"Oct 10, 06:00 am",0,0.00%,
"Oct 10, 07:00 am",0,0.00%,
"Oct 10, 08:00 am",0,0.00%,
"Oct 10, 09:00 am",0,0.00%,
"Oct 10, 10:00 am",0,0.00%,
"Oct 10, 11:00 am",0,0.00%,
"Oct 10, 12:00 pm",4331.91,0.58%,
"Oct 10, 01:00 pm",14049.7,1.88%,
"Oct 10, 02:00 pm",15914.6,2.13%,
"Oct 10, 03:00 pm",17004.3,2.28%,
"Oct 10, 04:00 pm",17499.5,2.34%,
"Oct 10, 05:00 pm",18633.4,2.50%,
"Oct 10, 06:00 pm",25951.6,3.48%,
"Oct 10, 07:00 pm",32848.3,4.40%,
"Oct 10, 08:00 pm",17592.4,2.36%,
"Oct 10, 09:00 pm",20776.5,2.78%,
"Oct 10, 10:00 pm",23311.8,3.12%,
"Oct 10, 11:00 pm",0,0.00%,
"Oct 11, 12:00 am",0,0.00%,
"Oct 11, 01:00 am",0,0.00%,
"Oct 11, 02:00 am",0,0.00%,
"Oct 11, 03:00 am",0,0.00%,
"Oct 11, 04:00 am",0,0.00%,
"Oct 11, 05:00 am",0,0.00%,
"Oct 11, 06:00 am",0,0.00%,
"Oct 11, 07:00 am",0,0.00%,
"Oct 11, 08:00 am",0,0.00%,
"Oct 11, 09:00 am",0,0.00%,
"Oct 11, 10:00 am",0,0.00%,
"Oct 11, 11:00 am",0,0.00%,
"Oct 11, 12:00 pm",4687.31,0.63%,
"Oct 11, 01:00 pm",59062.9,7.91%,
"Oct 11, 02:00 pm",94606.9,12.68%,
"Oct 11, 03:00 pm",203108,27.22%,
"Oct 11, 04:00 pm",250295,33.54%,
"Oct 11, 05:00 pm",316851,42.46%,
"Oct 11, 06:00 pm",365117,48.93%,
"Oct 11, 07:00 pm",224519,30.09%,
"Oct 11, 08:00 pm",55620,7.45%,
"Oct 11, 09:00 pm",37482,5.02%,
"Oct 11, 10:00 pm",12419.6,1.66%,
"Oct 11, 11:00 pm",0,0.00%,
"Oct 12, 12:00 am",0,0.00%,
"Oct 12, 01:00 am",0,0.00%,
"Oct 12, 02:00 am",0,0.00%,
"Oct 12, 03:00 am",0,0.00%,
"Oct 12, 04:00 am",0,0.00%,
"Oct 12, 05:00 am",0,0.00%,
"Oct 12, 06:00 am",0,0.00%,
"Oct 12, 07:00 am",0,0.00%,
"Oct 12, 08:00 am",0,0.00%,
"Oct 12, 09:00 am",0,0.00%,
"Oct 12, 10:00 am",0,0.00%,
"Oct 12, 11:00 am",0,0.00%,
"Oct 12, 12:00 pm",1501.15,0.20%,
"Oct 12, 01:00 pm",10592,1.42%,
"Oct 12, 02:00 pm",30147.2,4.04%,
"Oct 12, 03:00 pm",47126.4,6.31%,
"Oct 12, 04:00 pm",37243.3,4.99%,
"Oct 12, 05:00 pm",44099.8,5.91%,
"Oct 12, 06:00 pm",39661.6,5.31%,
"Oct 12, 07:00 pm",32849.1,4.40%,
"Oct 12, 08:00 pm",21071.7,2.82%,
"Oct 12, 09:00 pm",10584.1,1.42%,
"Oct 12, 10:00 pm",3181.57,0.43%,
"Oct 12, 11:00 pm",0,0.00%,
"Oct 13, 12:00 am",0,0.00%,
"Oct 13, 01:00 am",0,0.00%,
"Oct 13, 02:00 am",0,0.00%,
"Oct 13, 03:00 am",0,0.00%,
"Oct 13, 04:00 am",0,0.00%,
"Oct 13, 05:00 am",0,0.00%,
"Oct 13, 06:00 am",0,0.00%,
"Oct 13, 07:00 am",0,0.00%,
"Oct 13, 08:00 am",0,0.00%,
"Oct 13, 09:00 am",0,0.00%,
"Oct 13, 10:00 am",0,0.00%,
"Oct 13, 11:00 am",0,0.00%,
"Oct 13, 12:00 pm",7310.27,0.98%,
"Oct 13, 01:00 pm",72961.9,9.78%,
"Oct 13, 02:00 pm",387668,51.95%,
"Oct 13, 03:00 pm",199220,26.70%,
"Oct 13, 04:00 pm",138680,18.58%,
"Oct 13, 05:00 pm",200724,26.90%,
"Oct 13, 06:00 pm",253340,33.95%,
"Oct 13, 07:00 pm",167346,22.42%,
"Oct 13, 08:00 pm",129312,17.33%,
"Oct 13, 09:00 pm",22478.9,3.01%,
"Oct 13, 10:00 pm",5759.6,0.77%,
"Oct 13, 11:00 pm",0,0.00%,
"Oct 14, 12:00 am",0,0.00%,
"Oct 14, 01:00 am",0,0.00%,
"Oct 14, 02:00 am",0,0.00%,
"Oct 14, 03:00 am",0,0.00%,
"Oct 14, 04:00 am",0,0.00%,
"Oct 14, 05:00 am",0,0.00%,
"Oct 14, 06:00 am",0,0.00%,
"Oct 14, 07:00 am",0,0.00%,
"Oct 14, 08:00 am",0,0.00%,
"Oct 14, 09:00 am",0,0.00%,
"Oct 14, 10:00 am",0,0.00%,
"Oct 14, 11:00 am",0,0.00%,
"Oct 14, 12:00 pm",6648.01,0.89%,
"Oct 14, 01:00 pm",59952.9,8.03%,
"Oct 14, 02:00 pm",93153.7,12.48%,
"Oct 14, 03:00 pm",100175,13.42%,
"Oct 14, 04:00 pm",45727.3,6.13%,
"Oct 14, 05:00 pm",59909.6,8.03%,
"Oct 14, 06:00 pm",76488.1,10.25%,
"Oct 14, 07:00 pm",60813.9,8.15%,
"Oct 14, 08:00 pm",35484,4.75%,
"Oct 14, 09:00 pm",40734.5,5.46%,
"Oct 14, 10:00 pm",12080.1,1.62%,
"Oct 14, 11:00 pm",0,0.00%,
"Oct 15, 12:00 am",0,0.00%,
"Oct 15, 01:00 am",0,0.00%,
"Oct 15, 02:00 am",0,0.00%,
"Oct 15, 03:00 am",0,0.00%,
"Oct 15, 04:00 am",0,0.00%,
"Oct 15, 05:00 am",0,0.00%,
"Oct 15, 06:00 am",0,0.00%,
"Oct 15, 07:00 am",0,0.00%,
"Oct 15, 08:00 am",0,0.00%,
"Oct 15, 09:00 am",0,0.00%,
"Oct 15, 10:00 am",0,0.00%,
"Oct 15, 11:00 am",0,0.00%,
"Oct 15, 12:00 pm",3679.62,0.49%,
"Oct 15, 01:00 pm",65233.4,8.74%,
"Oct 15, 02:00 pm",153764,20.60%,
"Oct 15, 03:00 pm",222025,29.75%,
"Oct 15, 04:00 pm",302698,40.56%,
"Oct 15, 05:00 pm",289774,38.83%,
"Oct 15, 06:00 pm",129216,17.31%,
"Oct 15, 07:00 pm",79004.4,10.59%,
"Oct 15, 08:00 pm",52258.5,7.00%,
"Oct 15, 09:00 pm",30963.7,4.15%,
"Oct 15, 10:00 pm",95926.9,12.85%,
"Oct 15, 11:00 pm",0,0.00%,
"Oct 16, 12:00 am",0,0.00%,
"Oct 16, 01:00 am",0,0.00%,
"Oct 16, 02:00 am",0,0.00%,
"Oct 16, 03:00 am",0,0.00%,
"Oct 16, 04:00 am",0,0.00%,
"Oct 16, 05:00 am",0,0.00%,
"Oct 16, 06:00 am",0,0.00%,
"Oct 16, 07:00 am",0,0.00%,
"Oct 16, 08:00 am",0,0.00%,
"Oct 16, 09:00 am",0,0.00%,
"Oct 16, 10:00 am",0,0.00%,
"Oct 16, 11:00 am",0,0.00%,
"Oct 16, 12:00 pm",20978.8,2.81%,
"Oct 16, 01:00 pm",306651,41.09%,
"Oct 16, 02:00 pm",363059,48.65%,
"Oct 16, 03:00 pm",235373,31.54%,
"Oct 16, 04:00 pm",222694,29.84%,
"Oct 16, 05:00 pm",38916.2,5.21%,
"Oct 16, 06:00 pm",52193.6,6.99%,
"Oct 16, 07:00 pm",29248.3,3.92%,
"Oct 16, 08:00 pm",37720.7,5.05%,
"Oct 16, 09:00 pm",20232.6,2.71%,
"Oct 16, 10:00 pm",5025.83,0.67%,
"Oct 16, 11:00 pm",0,0.00%,
"Oct 17, 12:00 am",0,0.00%,
"Oct 17, 01:00 am",0,0.00%,
"Oct 17, 02:00 am",0,0.00%,
"Oct 17, 03:00 am",0,0.00%,
"Oct 17, 04:00 am",0,0.00%,
"Oct 17, 05:00 am",0,0.00%,
"Oct 17, 06:00 am",0,0.00%,
"Oct 17, 07:00 am",0,0.00%,
"Oct 17, 08:00 am",0,0.00%,
"Oct 17, 09:00 am",0,0.00%,
"Oct 17, 10:00 am",0,0.00%,
"Oct 17, 11:00 am",0,0.00%,
"Oct 17, 12:00 pm",2397.52,0.32%,
"Oct 17, 01:00 pm",27550.6,3.69%,
"Oct 17, 02:00 pm",78620.4,10.54%,
"Oct 17, 03:00 pm",208663,27.96%,
"Oct 17, 04:00 pm",136353,18.27%,
"Oct 17, 05:00 pm",125259,16.78%,
"Oct 17, 06:00 pm",277178,37.14%,
"Oct 17, 07:00 pm",434568,58.23%,
"Oct 17, 08:00 pm",461870,61.89%,
"Oct 17, 09:00 pm",365333,48.95%,
"Oct 17, 10:00 pm",88685.3,11.88%,
"Oct 17, 11:00 pm",0,0.00%,
"Oct 18, 12:00 am",0,0.00%,
"Oct 18, 01:00 am",0,0.00%,
"Oct 18, 02:00 am",0,0.00%,
"Oct 18, 03:00 am",0,0.00%,
"Oct 18, 04:00 am",0,0.00%,
"Oct 18, 05:00 am",0,0.00%,
"Oct 18, 06:00 am",0,0.00%,
"Oct 18, 07:00 am",0,0.00%,
"Oct 18, 08:00 am",0,0.00%,
"Oct 18, 09:00 am",0,0.00%,
"Oct 18, 10:00 am",0,0.00%,
"Oct 18, 11:00 am",0,0.00%,
"Oct 18, 12:00 pm",16474.5,2.21%,
"Oct 18, 01:00 pm",304955,40.86%,
"Oct 18, 02:00 pm",515133,69.03%,
"Oct 18, 03:00 pm",659361,88.35%,
"Oct 18, 04:00 pm",744820,99.81%,
"Oct 18, 05:00 pm",746269,100.00%,
"Oct 18, 06:00 pm",746269,100.00%,
"Oct 18, 07:00 pm",673479,90.25%,
"Oct 18, 08:00 pm",547267,73.33%,
"Oct 18, 09:00 pm",365040,48.92%,
"Oct 18, 10:00 pm",92410.7,12.38%,
"Oct 18, 11:00 pm",0,0.00%,
"Oct 19, 12:00 am",0,0.00%,
"Oct 19, 01:00 am",0,0.00%,
"Oct 19, 02:00 am",0,0.00%,
"Oct 19, 03:00 am",0,0.00%,
"Oct 19, 04:00 am",0,0.00%,
"Oct 19, 05:00 am",0,0.00%,
"Oct 19, 06:00 am",0,0.00%,
"Oct 19, 07:00 am",0,0.00%,
"Oct 19, 08:00 am",0,0.00%,
"Oct 19, 09:00 am",0,0.00%,
"Oct 19, 10:00 am",0,0.00%,
"Oct 19, 11:00 am",0,0.00%,
"Oct 19, 12:00 pm",747.992,0.10%,
"Oct 19, 01:00 pm",144003,19.30%,
"Oct 19, 02:00 pm",251664,33.72%,
"Oct 19, 03:00 pm",97924.1,13.12%,
"Oct 19, 04:00 pm",42639.5,5.71%,
"Oct 19, 05:00 pm",40035.7,5.36%,
"Oct 19, 06:00 pm",46919.9,6.29%,
"Oct 19, 07:00 pm",85393.3,11.44%,
"Oct 19, 08:00 pm",210008,28.14%,
"Oct 19, 09:00 pm",55156.8,7.39%,
"Oct 19, 10:00 pm",71423.1,9.57%,
"Oct 19, 11:00 pm",0,0.00%,
"Oct 20, 12:00 am",0,0.00%,
"Oct 20, 01:00 am",0,0.00%,
"Oct 20, 02:00 am",0,0.00%,
"Oct 20, 03:00 am",0,0.00%,
"Oct 20, 04:00 am",0,0.00%,
"Oct 20, 05:00 am",0,0.00%,
"Oct 20, 06:00 am",0,0.00%,
"Oct 20, 07:00 am",0,0.00%,
"Oct 20, 08:00 am",0,0.00%,
"Oct 20, 09:00 am",0,0.00%,
"Oct 20, 10:00 am",0,0.00%,
"Oct 20, 11:00 am",0,0.00%,
"Oct 20, 12:00 pm",1980.87,0.27%,
"Oct 20, 01:00 pm",17344.6,2.32%,
"Oct 20, 02:00 pm",107325,14.38%,
"Oct 20, 03:00 pm",283489,37.99%,
"Oct 20, 04:00 pm",212119,28.42%,
"Oct 20, 05:00 pm",59899.7,8.03%,
"Oct 20, 06:00 pm",79224.1,10.62%,
"Oct 20, 07:00 pm",50707.2,6.79%,
"Oct 20, 08:00 pm",32821.4,4.40%,
"Oct 20, 09:00 pm",18091,2.42%,
"Oct 20, 10:00 pm",3151.77,0.42%,
"Oct 20, 11:00 pm",0,0.00%,
"Oct 21, 12:00 am",0,0.00%,
"Oct 21, 01:00 am",0,0.00%,
"Oct 21, 02:00 am",0,0.00%,
"Oct 21, 03:00 am",0,0.00%,
"Oct 21, 04:00 am",0,0.00%,
"Oct 21, 05:00 am",0,0.00%,
"Oct 21, 06:00 am",0,0.00%,
"Oct 21, 07:00 am",0,0.00%,
"Oct 21, 08:00 am",0,0.00%,
"Oct 21, 09:00 am",0,0.00%,
"Oct 21, 10:00 am",0,0.00%,
"Oct 21, 11:00 am",0,0.00%,
"Oct 21, 12:00 pm",2828.87,0.38%,
"Oct 21, 01:00 pm",28063,3.76%,
"Oct 21, 02:00 pm",72252.7,9.68%,
"Oct 21, 03:00 pm",58450.1,7.83%,
"Oct 21, 04:00 pm",149449,20.03%,
"Oct 21, 05:00 pm",123017,16.48%,
"Oct 21, 06:00 pm",113847,15.26%,
"Oct 21, 07:00 pm",147802,19.81%,
"Oct 21, 08:00 pm",381596,51.13%,
"Oct 21, 09:00 pm",367417,49.23%,
"Oct 21, 10:00 pm",59965.2,8.04%,
"Oct 21, 11:00 pm",0,0.00%,
"Oct 22, 12:00 am",0,0.00%,
"Oct 22, 01:00 am",0,0.00%,
"Oct 22, 02:00 am",0,0.00%,
"Oct 22, 03:00 am",0,0.00%,
"Oct 22, 04:00 am",0,0.00%,
"Oct 22, 05:00 am",0,0.00%,
"Oct 22, 06:00 am",0,0.00%,
"Oct 22, 07:00 am",0,0.00%,
"Oct 22, 08:00 am",0,0.00%,
"Oct 22, 09:00 am",0,0.00%,
"Oct 22, 10:00 am",0,0.00%,
"Oct 22, 11:00 am",0,0.00%,
"Oct 22, 12:00 pm",7612.58,1.02%,
"Oct 22, 01:00 pm",300214,40.23%,
"Oct 22, 02:00 pm",514643,68.96%,
"Oct 22, 03:00 pm",545767,73.13%,
"Oct 22, 04:00 pm",296175,39.69%,
"Oct 22, 05:00 pm",746269,100.00%,
"Oct 22, 06:00 pm",738554,98.97%,
"Oct 22, 07:00 pm",667239,89.41%,
"Oct 22, 08:00 pm",197482,26.46%,
"Oct 22, 09:00 pm",52830.5,7.08%,
"Oct 22, 10:00 pm",9862.24,1.32%,
"Oct 22, 11:00 pm",0,0.00%,
"Oct 23, 12:00 am",0,0.00%,
"Oct 23, 01:00 am",0,0.00%,
"Oct 23, 02:00 am",0,0.00%,
"Oct 23, 03:00 am",0,0.00%,
"Oct 23, 04:00 am",0,0.00%,
"Oct 23, 05:00 am",0,0.00%,
"Oct 23, 06:00 am",0,0.00%,
"Oct 23, 07:00 am",0,0.00%,
"Oct 23, 08:00 am",0,0.00%,
"Oct 23, 09:00 am",0,0.00%,
"Oct 23, 10:00 am",0,0.00%,
"Oct 23, 11:00 am",0,0.00%,
"Oct 23, 12:00 pm",827.425,0.11%,
"Oct 23, 01:00 pm",18313.1,2.45%,
"Oct 23, 02:00 pm",50031.1,6.70%,
"Oct 23, 03:00 pm",46838.3,6.28%,
"Oct 23, 04:00 pm",71086.1,9.53%,
"Oct 23, 05:00 pm",126212,16.91%,
"Oct 23, 06:00 pm",167906,22.50%,
"Oct 23, 07:00 pm",92610.2,12.41%,
"Oct 23, 08:00 pm",36657.4,4.91%,
"Oct 23, 09:00 pm",35452.7,4.75%,
"Oct 23, 10:00 pm",3875.35,0.52%,
"Oct 23, 11:00 pm",0,0.00%,
"Oct 24, 12:00 am",0,0.00%,
"Oct 24, 01:00 am",0,0.00%,
"Oct 24, 02:00 am",0,0.00%,
"Oct 24, 03:00 am",0,0.00%,
"Oct 24, 04:00 am",0,0.00%,
"Oct 24, 05:00 am",0,0.00%,
"Oct 24, 06:00 am",0,0.00%,
"Oct 24, 07:00 am",0,0.00%,
"Oct 24, 08:00 am",0,0.00%,
"Oct 24, 09:00 am",0,0.00%,
"Oct 24, 10:00 am",0,0.00%,
"Oct 24, 11:00 am",0,0.00%,
"Oct 24, 12:00 pm",2373.17,0.32%,
"Oct 24, 01:00 pm",54895.7,7.36%,
"Oct 24, 02:00 pm",239127,32.04%,
"Oct 24, 03:00 pm",632492,84.75%,
"Oct 24, 04:00 pm",700169,93.82%,
"Oct 24, 05:00 pm",746269,100.00%,
"Oct 24, 06:00 pm",731132,97.97%,
"Oct 24, 07:00 pm",657185,88.06%,
"Oct 24, 08:00 pm",530773,71.12%,
"Oct 24, 09:00 pm",347694,46.59%,
"Oct 24, 10:00 pm",42565.2,5.70%,
"Oct 24, 11:00 pm",0,0.00%,
"Oct 25, 12:00 am",0,0.00%,
"Oct 25, 01:00 am",0,0.00%,
"Oct 25, 02:00 am",0,0.00%,
"Oct 25, 03:00 am",0,0.00%,
"Oct 25, 04:00 am",0,0.00%,
"Oct 25, 05:00 am",0,0.00%,
"Oct 25, 06:00 am",0,0.00%,
"Oct 25, 07:00 am",0,0.00%,
"Oct 25, 08:00 am",0,0.00%,
"Oct 25, 09:00 am",0,0.00%,
"Oct 25, 10:00 am",0,0.00%,
"Oct 25, 11:00 am",0,0.00%,
"Oct 25, 12:00 pm",0,0.00%,
"Oct 25, 01:00 pm",9115.37,1.22%,
"Oct 25, 02:00 pm",19684.3,2.64%,
"Oct 25, 03:00 pm",32500.1,4.36%,
"Oct 25, 04:00 pm",163196,21.87%,
"Oct 25, 05:00 pm",138887,18.61%,
"Oct 25, 06:00 pm",173347,23.23%,
"Oct 25, 07:00 pm",145260,19.46%,
"Oct 25, 08:00 pm",54224.7,7.27%,
"Oct 25, 09:00 pm",22795.4,3.05%,
"Oct 25, 10:00 pm",3582.69,0.48%,
"Oct 25, 11:00 pm",0,0.00%,
"Oct 26, 12:00 am",0,0.00%,
"Oct 26, 01:00 am",0,0.00%,
"Oct 26, 02:00 am",0,0.00%,
"Oct 26, 03:00 am",0,0.00%,
"Oct 26, 04:00 am",0,0.00%,
"Oct 26, 05:00 am",0,0.00%,
"Oct 26, 06:00 am",0,0.00%,
"Oct 26, 07:00 am",0,0.00%,
"Oct 26, 08:00 am",0,0.00%,
"Oct 26, 09:00 am",0,0.00%,
"Oct 26, 10:00 am",0,0.00%,
"Oct 26, 11:00 am",0,0.00%,
"Oct 26, 12:00 pm",0,0.00%,
"Oct 26, 01:00 pm",12575.9,1.69%,
"Oct 26, 02:00 pm",34042.9,4.56%,
"Oct 26, 03:00 pm",50076,6.71%,
"Oct 26, 04:00 pm",51270.6,6.87%,
"Oct 26, 05:00 pm",70184.1,9.40%,
"Oct 26, 06:00 pm",50506.1,6.77%,
"Oct 26, 07:00 pm",51714.9,6.93%,
"Oct 26, 08:00 pm",135152,18.11%,
"Oct 26, 09:00 pm",47363.8,6.35%,
"Oct 26, 10:00 pm",2386.51,0.32%,
"Oct 26, 11:00 pm",0,0.00%,
"Oct 27, 12:00 am",0,0.00%,
"Oct 27, 01:00 am",0,0.00%,
"Oct 27, 02:00 am",0,0.00%,
"Oct 27, 03:00 am",0,0.00%,
"Oct 27, 04:00 am",0,0.00%,
"Oct 27, 05:00 am",0,0.00%,
"Oct 27, 06:00 am",0,0.00%,
"Oct 27, 07:00 am",0,0.00%,
"Oct 27, 08:00 am",0,0.00%,
"Oct 27, 09:00 am",0,0.00%,
"Oct 27, 10:00 am",0,0.00%,
"Oct 27, 11:00 am",0,0.00%,
"Oct 27, 12:00 pm",0,0.00%,
"Oct 27, 01:00 pm",10804.7,1.45%,
"Oct 27, 02:00 pm",34762.7,4.66%,
"Oct 27, 03:00 pm",45859.8,6.15%,
"Oct 27, 04:00 pm",106853,14.32%,
"Oct 27, 05:00 pm",92606.2,12.41%,
"Oct 27, 06:00 pm",109055,14.61%,
"Oct 27, 07:00 pm",65236.3,8.74%,
"Oct 27, 08:00 pm",49466,6.63%,
"Oct 27, 09:00 pm",6083.48,0.82%,
"Oct 27, 10:00 pm",760.378,0.10%,
"Oct 27, 11:00 pm",0,0.00%,
"Oct 28, 12:00 am",0,0.00%,
"Oct 28, 01:00 am",0,0.00%,
"Oct 28, 02:00 am",0,0.00%,
"Oct 28, 03:00 am",0,0.00%,
"Oct 28, 04:00 am",0,0.00%,
"Oct 28, 05:00 am",0,0.00%,
"Oct 28, 06:00 am",0,0.00%,
"Oct 28, 07:00 am",0,0.00%,
"Oct 28, 08:00 am",0,0.00%,
"Oct 28, 09:00 am",0,0.00%,
"Oct 28, 10:00 am",0,0.00%,
"Oct 28, 11:00 am",0,0.00%,
"Oct 28, 12:00 pm",0,0.00%,
"Oct 28, 01:00 pm",22971.4,3.08%,
"Oct 28, 02:00 pm",85487.8,11.46%,
"Oct 28, 03:00 pm",61055.5,8.18%,
"Oct 28, 04:00 pm",141218,18.92%,
"Oct 28, 05:00 pm",118271,15.85%,
"Oct 28, 06:00 pm",75494.2,10.12%,
"Oct 28, 07:00 pm",53556.1,7.18%,
"Oct 28, 08:00 pm",38353.7,5.14%,
"Oct 28, 09:00 pm",35676.4,4.78%,
"Oct 28, 10:00 pm",3719.55,0.50%,
"Oct 28, 11:00 pm",0,0.00%,
"Oct 29, 12:00 am",0,0.00%,
"Oct 29, 01:00 am",0,0.00%,
"Oct 29, 02:00 am",0,0.00%,
"Oct 29, 03:00 am",0,0.00%,
"Oct 29, 04:00 am",0,0.00%,
"Oct 29, 05:00 am",0,0.00%,
"Oct 29, 06:00 am",0,0.00%,
"Oct 29, 07:00 am",0,0.00%,
"Oct 29, 08:00 am",0,0.00%,
"Oct 29, 09:00 am",0,0.00%,
"Oct 29, 10:00 am",0,0.00%,
"Oct 29, 11:00 am",0,0.00%,
"Oct 29, 12:00 pm",0,0.00%,
"Oct 29, 01:00 pm",100141,13.42%,
"Oct 29, 02:00 pm",338771,45.40%,
"Oct 29, 03:00 pm",60290.5,8.08%,
"Oct 29, 04:00 pm",43025.3,5.77%,
"Oct 29, 05:00 pm",186549,25.00%,
"Oct 29, 06:00 pm",255675,34.26%,
"Oct 29, 07:00 pm",39236.8,5.26%,
"Oct 29, 08:00 pm",16394.1,2.20%,
"Oct 29, 09:00 pm",6689.68,0.90%,
"Oct 29, 10:00 pm",4703.82,0.63%,
"Oct 29, 11:00 pm",0,0.00%,
"Oct 30, 12:00 am",0,0.00%,
"Oct 30, 01:00 am",0,0.00%,
"Oct 30, 02:00 am",0,0.00%,
"Oct 30, 03:00 am",0,0.00%,
"Oct 30, 04:00 am",0,0.00%,
"Oct 30, 05:00 am",0,0.00%,
"Oct 30, 06:00 am",0,0.00%,
"Oct 30, 07:00 am",0,0.00%,
"Oct 30, 08:00 am",0,0.00%,
"Oct 30, 09:00 am",0,0.00%,
"Oct 30, 10:00 am",0,0.00%,
"Oct 30, 11:00 am",0,0.00%,
"Oct 30, 12:00 pm",0,0.00%,
"Oct 30, 01:00 pm",16744.1,2.24%,
"Oct 30, 02:00 pm",23407,3.14%,
"Oct 30, 03:00 pm",10378.8,1.39%,
"Oct 30, 04:00 pm",12704.3,1.70%,
"Oct 30, 05:00 pm",30980.1,4.15%,
"Oct 30, 06:00 pm",25976.8,3.48%,
"Oct 30, 07:00 pm",19903.3,2.67%,
"Oct 30, 08:00 pm",31163,4.18%,
"Oct 30, 09:00 pm",10751.4,1.44%,
"Oct 30, 10:00 pm",1160.74,0.16%,
"Oct 30, 11:00 pm",0,0.00%,
"Oct 31, 12:00 am",0,0.00%,
"Oct 31, 01:00 am",0,0.00%,
"Oct 31, 02:00 am",0,0.00%,
"Oct 31, 03:00 am",0,0.00%,
"Oct 31, 04:00 am",0,0.00%,
"Oct 31, 05:00 am",0,0.00%,
"Oct 31, 06:00 am",0,0.00%,
"Oct 31, 07:00 am",0,0.00%,
"Oct 31, 08:00 am",0,0.00%,
"Oct 31, 09:00 am",0,0.00%,
"Oct 31, 10:00 am",0,0.00%,
"Oct 31, 11:00 am",0,0.00%,
"Oct 31, 12:00 pm",0,0.00%,
"Oct 31, 01:00 pm",255234,34.20%,
"Oct 31, 02:00 pm",422890,56.67%,
"Oct 31, 03:00 pm",70383.1,9.43%,
"Oct 31, 04:00 pm",30432.3,4.08%,
"Oct 31, 05:00 pm",45319.2,6.07%,
"Oct 31, 06:00 pm",42836.7,5.74%,
"Oct 31, 07:00 pm",23658.3,3.17%,
"Oct 31, 08:00 pm",10925.1,1.46%,
"Oct 31, 09:00 pm",4937.9,0.66%,
"Oct 31, 10:00 pm",0,0.00%,
"Oct 31, 11:00 pm",0,0.00%,
"Nov 1, 12:00 am",0,0.00%,
"Nov 1, 01:00 am",0,0.00%,
"Nov 1, 02:00 am",0,0.00%,
"Nov 1, 03:00 am",0,0.00%,
"Nov 1, 04:00 am",0,0.00%,
"Nov 1, 05:00 am",0,0.00%,
"Nov 1, 06:00 am",0,0.00%,
"Nov 1, 07:00 am",0,0.00%,
"Nov 1, 08:00 am",0,0.00%,
"Nov 1, 09:00 am",0,0.00%,
"Nov 1, 10:00 am",0,0.00%,
"Nov 1, 11:00 am",0,0.00%,
"Nov 1, 12:00 pm",0,0.00%,
"Nov 1, 01:00 pm",16244.6,2.18%,
"Nov 1, 02:00 pm",42020.5,5.63%,
"Nov 1, 03:00 pm",97318.6,13.04%,
"Nov 1, 04:00 pm",508863,68.19%,
"Nov 1, 05:00 pm",60566.5,8.12%,
"Nov 1, 06:00 pm",66672.8,8.93%,
"Nov 1, 07:00 pm",44491.4,5.96%,
